class,BrdIndx,Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR
asphalt ,1.27,91,0.97,231.38,1.39,1.47,207.92,241.74,244.48
asphalt ,2.36,241,1.56,216.15,2.46,2.51,187.85,229.39,231.2
asphalt ,2.12,266,1.47,232.18,2.07,2.21,206.54,244.22,245.79
asphalt ,2.42,399,1.28,230.4,2.49,2.73,204.6,243.27,243.32
asphalt ,2.15,944,1.73,193.18,2.28,4.1,165.98,205.55,208
asphalt ,3.11,169,1.47,172.22,2.49,3.35,240.18,127.65,148.83
asphalt ,1.2,44,0.79,208.8,1.14,1.36,180.95,221.61,223.82
asphalt ,1,88,0.22,234.51,1.11,1.12,208.5,246.48,248.56
asphalt ,1.59,1737,0.67,219.61,1.3,1.64,185.86,233.84,239.13
asphalt ,2.37,153,1.3,120.24,2.85,2.59,184.15,81.5,95.06
asphalt ,1.57,3552,0.46,213.22,1.32,1.6,173.03,229.84,236.8
asphalt ,4.19,418,2.48,83.35,4.21,4.3,68.07,88.8,93.17
asphalt ,1.3,1024,0.58,183.93,1.39,1.64,169.57,209.61,172.6
asphalt ,1.14,289,0.38,173.16,1.21,1.21,213.71,145.56,160.23
building ,2.03,249,1,39.62,2.2,2.12,35.86,38.92,44.07
building ,1.31,1639,0.68,205.31,1.26,1.37,196.24,239.05,180.65
building ,2.68,285,1.48,138.01,2.53,2.7,201.84,98.06,114.13
building ,2.79,293,1.37,237.11,2.4,3.1,227.22,242.45,241.68
building ,1.21,2797,0.78,244.7,1.34,1.23,229.52,252.21,252.37
building ,1.13,217,0.32,41.25,1.22,1.22,47.51,34.69,41.55
building ,1.28,173,0.85,157.34,1.53,1.41,85.43,161.11,225.49
building ,3.23,203,2.15,66.75,3.55,3.4,60.3,68.47,71.47
building ,2.09,178,1.63,215.76,2.4,2.66,188.69,229.03,229.55
building ,2,138,1.31,154.97,2.46,2.04,200.16,124.49,140.25
building ,1.79,203,1.83,152.09,2.41,2.46,193.34,123.78,139.15
building ,2,792,1,238.34,1.88,2.24,211.08,251.96,251.97
building ,3.54,429,1.79,176.66,2.73,3.93,205.01,160.12,164.84
building ,1.38,1078,0.64,243.74,1.27,1.43,226.39,252.62,252.21
building ,1.92,957,0.96,175.33,1.76,2.05,161.9,201.82,162.26
building ,2.74,316,1.92,200.53,2.73,3.32,181.09,208.44,212.05
building ,2.94,642,1.43,84.16,2.56,3.02,67.13,90.65,94.7
building ,1.39,220,0.86,49.89,1.43,1.79,61.68,40.14,47.87
building ,1.48,3084,0.93,230.71,1.33,2.52,215.62,252.64,223.88
building ,2.44,554,1.72,146.12,3.03,2.49,213.73,102.01,122.61
building ,2.89,288,1.41,124.98,2.4,2.98,187.27,88.61,99.07
building ,1.4,1278,0.73,226.77,1.42,2.06,204.75,251.55,224.01
building ,2.66,998,1.34,71.58,2.35,2.82,57.98,75.54,81.23
building ,1.66,328,0.9,237.5,1.73,1.74,211.47,250.57,250.48
building ,3.2,373,1.61,148.7,2.78,3.73,213.41,106.93,125.76
car ,1.41,1046,0.76,239.94,1.37,1.9,215.11,252.47,252.25
car ,2.26,397,1.63,236.16,3.43,2.38,233.62,238.42,236.43
car ,1.96,144,0.98,112.87,2.31,2.13,168.78,78.85,90.97
car ,1.51,869,1.17,189.67,1.56,1.71,164.41,208.08,196.5
car ,1.87,3645,0.75,236.75,1.55,1.97,204.59,252.82,252.83
car ,1.55,2306,0.74,211.82,1.29,1.71,185.81,232.73,216.93
car ,1.83,183,0.83,144.61,1.97,1.96,156.36,139.63,137.83
car ,3.72,557,2.13,152.42,3.58,3.94,166.87,145.44,144.96
car ,1.72,663,0.43,45.19,1.7,1.81,47.1,41.36,47.11
car ,2.23,224,1.23,239.87,2.24,2.31,225.22,247.39,247
car ,3.32,321,1.95,233.21,3.46,3.43,226.44,237.35,235.86
car ,1.93,377,1.15,52.72,1.82,2.24,58.52,46.34,53.31
car ,2.29,154,1.68,128.57,2.9,2.58,169.71,99.93,116.08
car ,1.05,77,0.47,238.99,1.18,1.14,226.18,244.38,246.42
car ,1.42,117,0.52,236.92,1.5,1.57,225.41,240.53,244.82
concrete ,1.29,200,0.4,73.77,1.34,1.56,65.2,76.44,79.66
concrete ,1.58,153,0.66,170.71,1.65,1.66,88.25,179.33,244.53
concrete ,1.67,1227,0.75,238.7,1.64,1.74,210.94,252.52,252.63
concrete ,2.51,482,1.34,122.09,1.99,2.69,179.12,84.91,102.25
concrete ,1.76,276,0.7,150.7,1.81,1.81,171.22,138.96,141.91
concrete ,2.98,437,1.66,160.74,2.84,3.06,175.86,153.09,153.26
concrete ,1,32,0.02,194.21,1,1.06,187.25,233.97,161.41
concrete ,1,90,0.36,236.68,1.16,1.11,220.69,244.78,244.57
concrete ,1.81,96,1.12,162.5,2.66,1.94,95.24,165.32,226.93
concrete ,1.3,130,0.77,239.83,1.23,1.53,220.97,248.32,250.21
concrete ,3.43,494,1.76,191.79,3.27,3.78,194.89,190.6,189.87
concrete ,1.74,365,0.82,140.87,1.62,1.96,200.64,101.52,120.47
concrete ,1.32,1614,0.56,235.54,1.45,1.34,201.8,252.4,252.42
concrete ,2.26,847,1.4,235.86,2.11,2.68,209.47,248.84,249.28
concrete ,3.33,425,2.08,235.8,3.95,3.4,221.89,242.86,242.65
concrete ,3.46,310,2.09,199.07,4.18,3.63,190.24,204.37,202.61
concrete ,3.02,525,1.44,235.24,2.47,3.1,207.73,249.76,248.23
concrete ,1.38,1482,0.54,145.95,1.42,1.42,122.53,156.16,159.16
concrete ,1.38,98,0.55,108.13,1.59,1.46,62.57,100.19,161.62
concrete ,1.79,48,1.14,147.9,2.08,1.8,88.31,151.29,204.08
concrete ,1.69,142,1.08,161.7,1.94,1.85,91.63,169.99,223.48
concrete ,1.63,847,1.43,41.64,1.91,3.52,39.34,38.98,46.59
concrete ,1.34,2575,0.85,244.74,1.51,1.35,229.44,252.61,252.18
grass ,2.58,424,1.39,140.16,1.82,3.25,174.35,118.41,127.73
grass ,1.86,74,1.26,72.45,2.61,2.38,58.78,73.96,84.59
grass ,1.23,972,0.69,89.37,1.3,1.38,76.3,99.45,92.36
grass ,1.53,73,1.39,155.24,2.1,1.7,83.14,159.49,223.08
grass ,1.3,199,0.6,171.81,1.37,1.38,89.27,176.39,249.77
grass ,1.64,211,0.61,208.48,1.65,1.86,182.86,220.32,222.26
grass ,2.11,1950,0.98,218.14,1.78,2.32,192.68,230.28,231.47
grass ,2.96,453,1.98,202.38,3.23,3.34,162.36,219.49,225.29
grass ,1.65,160,0.74,51.42,1.46,1.7,56.36,45.96,51.92
grass ,1.4,2585,0.62,234.95,1.35,1.58,199.84,252.17,252.83
grass ,1.91,620,0.93,223.16,1.94,2.23,246.35,208.7,214.42
grass ,2.68,332,1.35,82.16,2.6,3.02,70,85.53,90.95
grass ,2.06,209,1.03,213.27,1.76,2.21,238.86,198.79,202.16
grass ,2.15,123,1.43,183.84,2.25,2.52,204.98,170.5,176.04
grass ,2.39,404,1.17,211.24,2.09,2.74,230.23,203.35,200.14
